symbol,sector,signalDate,entryDate,exitDate,holdingDays,entryPrice,grossReturnPct,netReturnPct,maePct,mfePct,win,finalReason,nExits
CUMMINSIND,Infra / Capital Goods,2024-09-16,2024-09-17,2024-09-19,2,3781.94,-2.823,-2.923,-4.53,2.22,0,stop-loss,1
INDUSTOWER,Telecom,2024-09-16,2024-09-17,2024-09-19,2,427.41,-3.476,-3.576,-14.29,1.45,0,stop-loss,1
MRF,Auto Ancillary,2024-09-16,2024-09-17,2024-09-18,1,137118.52,-2.146,-2.246,-2.78,0.11,0,thesis-break,1
VEDL,Metals / Mining,2024-09-16,2024-09-17,2024-09-18,1,168.74,-0.63,-0.73,-1.17,0.74,0,thesis-break,1
CROMPTON,Consumer Durables / Retail,2024-09-17,2024-09-18,2024-09-19,1,455.13,-2.547,-2.647,-2.79,0.05,0,stop-loss,1
EICHERMOT,Auto,2024-09-17,2024-09-18,2024-09-25,7,4866.43,0.542,0.442,-1.11,4.02,1,time-stop,1
KEI,Infra / Capital Goods,2024-09-17,2024-09-18,2024-09-20,2,4461.68,-3.704,-3.804,-4.9,2.69,0,stop-loss,1
M&M,Auto,2024-09-17,2024-09-18,2024-09-24,6,2782.89,8.23,8.13,-0.19,11.34,1,target2,2
OIL,Oil & Gas / Energy,2024-09-17,2024-09-18,2024-09-19,1,626.31,-9.37,-9.47,-11.57,0.11,0,stop-loss,1
POWERGRID,Power / Utilities,2024-09-17,2024-09-18,2024-09-19,1,338.67,-1.163,-1.263,-1.64,0.07,0,thesis-break,1
HDFCLIFE,Insurance,2024-09-18,2024-09-19,2024-09-23,4,700.7,3.003,2.903,-0.42,4.18,1,target2,2
NYKAA,New-Age Platforms,2024-09-19,2024-09-20,2024-09-23,3,201.98,-0.035,-0.135,-2.29,2.62,0,thesis-break,1
SBILIFE,Insurance,2024-09-19,2024-09-20,2024-09-25,5,1850.92,1.729,1.629,-0.53,4.16,1,stop-loss,2
GODREJCP,FMCG / Consumer,2024-09-20,2024-09-23,2024-09-24,1,1464.58,-1.294,-1.394,-2.41,0.03,0,thesis-break,1
RVNL,Railways / PSU Infra,2024-09-20,2024-09-23,2024-09-24,1,544.52,-3.404,-3.504,-4.13,0,0,thesis-break,1
BPCL,Oil & Gas / Energy,2024-09-23,2024-09-24,2024-09-25,1,338.72,0.269,0.169,-1.05,1.32,1,thesis-break,1
CROMPTON,Consumer Durables / Retail,2024-09-23,2024-09-24,2024-09-24,0,445.97,-1.471,-1.571,-2.45,0,0,stop-loss,1
DEEPAKNTR,Chemicals / Fertilizers,2024-09-23,2024-09-24,2024-09-25,1,2881.44,-1.857,-1.957,-2.36,0.82,0,thesis-break,1
HINDPETRO,Oil & Gas / Energy,2024-09-23,2024-09-24,2024-09-30,6,403.1,7.866,7.766,-0.11,10.88,1,target2,2
MRF,Auto Ancillary,2024-09-23,2024-09-24,2024-10-01,7,137278.6,2.123,2.023,-0.39,3.72,1,time-stop,1
AUROPHARMA,Pharma / Healthcare,2024-09-24,2024-09-25,2024-09-27,2,1507.75,0.189,0.089,-1.2,1.57,1,thesis-break,1
CHAMBLFERT,Chemicals / Fertilizers,2024-09-24,2024-09-25,2024-10-03,8,500.3,6.113,6.013,-0.05,10.32,1,time-stop,1
CUMMINSIND,Infra / Capital Goods,2024-09-24,2024-09-25,2024-09-26,1,3863.93,-1.854,-1.954,-3.47,1.63,0,thesis-break,1
HDFCLIFE,Insurance,2024-09-24,2024-09-25,2024-10-03,8,722.36,-3.545,-3.645,-3.58,2.53,0,stop-loss,1
INFY,IT,2024-09-24,2024-09-25,2024-09-26,1,1887.29,0.636,0.536,-0.56,1.62,1,thesis-break,1
DRREDDY,Pharma / Healthcare,2024-09-25,2024-09-26,2024-10-03,7,1343.63,0.21,0.11,-0.8,1.14,1,time-stop,1
NYKAA,New-Age Platforms,2024-09-26,2024-09-27,2024-09-30,3,201.2,-3.105,-3.205,-3.07,2.08,0,thesis-break,1
TECHM,IT,2024-09-27,2024-09-30,2024-09-30,0,1606.8,-2.337,-2.437,-2.42,0,0,stop-loss,1
DEEPAKNTR,Chemicals / Fertilizers,2024-09-30,2024-10-01,2024-10-04,3,2910.85,-2.878,-2.978,-3.26,2.61,0,thesis-break,1
DRREDDY,Pharma / Healthcare,2024-09-30,2024-10-01,2024-10-07,6,1351,-2.5,-2.6,-2.57,0.59,0,stop-loss,1
LUPIN,Pharma / Healthcare,2024-09-30,2024-10-01,2024-10-03,2,2193.1,-0.483,-0.583,-1.77,1.18,0,thesis-break,1
INFY,IT,2024-10-01,2024-10-03,2024-10-10,7,1890.44,1.46,1.36,-0.5,4.58,1,time-stop,1
POLICYBZR,New-Age Platforms,2024-10-01,2024-10-03,2024-10-04,1,1724.86,-0.705,-0.805,-5.42,3.14,0,thesis-break,1
TECHM,IT,2024-10-03,2024-10-04,2024-10-11,7,1591.8,3.419,3.319,-0.05,5.29,1,time-stop,1
GAIL,Oil & Gas / Energy,2024-10-14,2024-10-15,2024-10-17,2,230.25,-3.623,-3.723,-4.07,1.85,0,thesis-break,1
MAZDOCK,Defence / Aerospace,2024-10-21,2024-10-22,2024-10-22,0,2343.67,-7.417,-7.517,-12.19,0.25,0,stop-loss,1
POLICYBZR,New-Age Platforms,2024-10-29,2024-10-30,2024-11-06,7,1692.85,-5.521,-5.621,-5.69,1.9,0,stop-loss,1
WIPRO,IT,2024-10-29,2024-10-30,2024-11-04,5,281.39,-3.879,-3.979,-5.08,2.84,0,stop-loss,1
GESHIP,Aviation / Logistics,2024-10-30,2024-10-31,2024-11-07,7,1291.6,-0.05,-0.15,-2.81,3.33,0,time-stop,1
PIIND,Chemicals / Fertilizers,2024-10-31,2024-11-01,2024-11-08,7,4490.74,1.546,1.446,-2.22,4.99,1,time-stop,1
GESHIP,Aviation / Logistics,2024-11-04,2024-11-05,2024-11-08,3,1287.14,-4.791,-4.891,-7.7,3.69,0,stop-loss,1
POLICYBZR,New-Age Platforms,2024-11-04,2024-11-05,2024-11-05,0,1701.35,-5.126,-5.226,-5.92,0.63,0,stop-loss,1
PAYTM,New-Age Platforms,2024-11-06,2024-11-07,2024-11-13,6,800.3,-5.926,-6.026,-6.29,6.85,0,thesis-break,1
LT,Infra / Capital Goods,2024-11-07,2024-11-08,2024-11-14,6,3642.22,-3.276,-3.376,-3.9,0.68,0,stop-loss,1
POLYCAB,Infra / Capital Goods,2024-11-07,2024-11-08,2024-11-11,3,6843.27,-2.02,-2.12,-3.17,0,0,thesis-break,1
LT,Infra / Capital Goods,2024-11-12,2024-11-13,2024-11-14,1,3586.79,-1.737,-1.837,-2.42,0.5,0,thesis-break,1
ETERNAL,New-Age Platforms,2024-11-19,2024-11-21,2024-11-28,7,273.84,4.436,4.336,-4.28,5.79,1,time-stop,1
HCLTECH,IT,2024-11-22,2024-11-25,2024-11-28,3,1919.96,-4.382,-4.482,-4.43,0,0,stop-loss,1
ETERNAL,New-Age Platforms,2024-11-25,2024-11-26,2024-12-03,7,273.94,2.106,2.006,-0.49,5.75,1,time-stop,1
POWERGRID,Power / Utilities,2024-11-25,2024-11-26,2024-11-29,3,342.17,-3.78,-3.88,-4.58,0.71,0,stop-loss,1
WIPRO,IT,2024-11-26,2024-11-27,2024-12-04,7,295.9,-0.692,-0.792,-3.59,0.71,0,time-stop,1
BEL,Defence / Aerospace,2024-11-27,2024-11-28,2024-12-05,7,308.15,2.01,1.91,-1.57,4.12,1,time-stop,1
MARICO,FMCG / Consumer,2024-11-27,2024-11-28,2024-12-05,7,650.22,-2.659,-2.759,-3.56,2.13,0,time-stop,1
POLYCAB,Infra / Capital Goods,2024-11-27,2024-11-28,2024-12-05,7,7103.55,3.299,3.199,-0.9,5.29,1,time-stop,1
TATACHEM,Chemicals / Fertilizers,2024-11-27,2024-11-28,2024-12-05,7,1107.7,2.567,2.467,-1.15,3.44,1,time-stop,1
JSWINFRA,Misc Large-Cap,2024-11-28,2024-11-29,2024-12-06,7,311.01,5.169,5.069,-0.82,7.34,1,time-stop,1
NMDC,Metals / Mining,2024-11-28,2024-11-29,2024-12-06,7,76.21,4.33,4.23,-0.62,4.75,1,time-stop,1
BHARTIARTL,Telecom,2024-11-29,2024-12-02,2024-12-09,7,1627.96,-1.61,-1.71,-2.8,1.53,0,time-stop,1
KEI,Infra / Capital Goods,2024-11-29,2024-12-02,2024-12-09,7,4315.36,3.944,3.844,-1.65,5.02,1,time-stop,1
INFY,IT,2024-12-02,2024-12-03,2024-12-10,7,1887.94,3.159,3.059,-0.89,4.11,1,time-stop,1
LODHA,Realty,2024-12-02,2024-12-03,2024-12-10,7,1297.65,7.957,7.857,-0.97,8.43,1,time-stop,1
MARICO,FMCG / Consumer,2024-12-02,2024-12-03,2024-12-09,6,646.82,-4.244,-4.344,-7.15,0,0,stop-loss,1
POWERGRID,Power / Utilities,2024-12-02,2024-12-03,2024-12-10,7,324.41,1.025,0.925,-1.5,2.57,1,time-stop,1
SHRIRAMFIN,NBFC / Financial Services,2024-12-02,2024-12-03,2024-12-10,7,626.51,1.671,1.571,-1.9,2.37,1,time-stop,1
TATACHEM,Chemicals / Fertilizers,2024-12-02,2024-12-03,2024-12-10,7,1134.57,-1.025,-1.125,-3.04,0.99,0,time-stop,1
BEL,Defence / Aerospace,2024-12-03,2024-12-04,2024-12-11,7,316.16,-0.701,-0.801,-1.76,1.48,0,time-stop,1
DLF,Realty,2024-12-03,2024-12-04,2024-12-11,7,853.43,2.564,2.464,-1.46,3.42,1,time-stop,1
JSWINFRA,Misc Large-Cap,2024-12-03,2024-12-04,2024-12-11,7,327.16,-0.908,-1.008,-1.38,3.33,0,time-stop,1
PFC,NBFC / Financial Services,2024-12-03,2024-12-04,2024-12-11,7,503.15,1.907,1.807,-0.35,4.12,1,time-stop,1
EICHERMOT,Auto,2024-12-05,2024-12-06,2024-12-10,4,4853.43,-0.882,-0.982,-1.15,1.55,0,thesis-break,1
EICHERMOT,Auto,2024-12-16,2024-12-17,2024-12-18,1,4810.5,-1.31,-1.41,-1.96,0.41,0,thesis-break,1
BHARTIARTL,Telecom,2024-12-17,2024-12-18,2024-12-19,1,1622.21,-1.4,-1.5,-2.27,0.05,0,thesis-break,1
DLF,Realty,2024-12-17,2024-12-18,2024-12-20,2,880.44,-4.662,-4.762,-6.35,0.1,0,stop-loss,1
GODREJPROP,Realty,2024-12-17,2024-12-18,2024-12-20,2,3016.31,-5.507,-5.607,-5.99,0,0,stop-loss,1
KEI,Infra / Capital Goods,2024-12-17,2024-12-18,2024-12-19,1,4395.15,-4.793,-4.893,-5.09,0.38,0,stop-loss,1
POWERGRID,Power / Utilities,2024-12-17,2024-12-18,2024-12-19,1,328.16,-2.846,-2.946,-3.45,0.29,0,stop-loss,1
LUPIN,Pharma / Healthcare,2024-12-19,2024-12-20,2024-12-27,7,2166.08,2.798,2.698,-1.82,3.32,1,time-stop,1
VEDL,Metals / Mining,2024-12-19,2024-12-20,2024-12-23,3,184.3,-4.486,-4.586,-4.87,0.41,0,stop-loss,1
LUPIN,Pharma / Healthcare,2024-12-24,2024-12-26,2025-01-02,7,2177.09,8.528,8.428,-0.92,10.37,1,target2,2
MARICO,FMCG / Consumer,2024-12-24,2024-12-26,2024-12-27,1,629.26,0.481,0.381,-0.59,0.93,1,thesis-break,1
MARICO,FMCG / Consumer,2025-01-01,2025-01-02,2025-01-09,7,635.62,4.869,4.769,-1.95,6.2,1,time-stop,1
MARICO,FMCG / Consumer,2025-01-02,2025-01-03,2025-01-08,5,657.33,-4.256,-4.356,-5.18,2.7,0,stop-loss,1
MARICO,FMCG / Consumer,2025-01-07,2025-01-08,2025-01-15,7,638.42,3.289,3.189,-2.38,6.45,1,time-stop,1
LUPIN,Pharma / Healthcare,2025-01-08,2025-01-09,2025-01-10,1,2280.14,-3.953,-4.053,-4.24,0.56,0,thesis-break,1
HCLTECH,IT,2025-01-10,2025-01-13,2025-01-14,1,1995.9,-3.492,-3.592,-9.93,0.82,0,stop-loss,1
MAZDOCK,Defence / Aerospace,2025-01-17,2025-01-20,2025-01-27,7,2321.16,-4.042,-4.142,-5.59,7.55,0,time-stop,1
MAZDOCK,Defence / Aerospace,2025-01-22,2025-01-23,2025-01-28,5,2276.99,-7.588,-7.688,-8.45,6.41,0,stop-loss,1
INDUSTOWER,Telecom,2025-01-28,2025-01-29,2025-01-30,1,352.68,-2.056,-2.156,-3.01,0.69,0,thesis-break,1
MAZDOCK,Defence / Aerospace,2025-01-28,2025-01-29,2025-02-04,6,2344.17,-6.357,-6.457,-7.43,10.37,0,thesis-break,1
WIPRO,IT,2025-01-28,2025-01-29,2025-02-05,7,305.2,3.847,3.747,-1.61,5.32,1,time-stop,1
MARICO,FMCG / Consumer,2025-02-01,2025-02-03,2025-02-03,0,688.74,-3.736,-3.836,-3.9,0.19,0,stop-loss,1
VEDL,Metals / Mining,2025-02-05,2025-02-06,2025-02-11,5,166.65,-5.4,-5.5,-5.62,2.6,0,stop-loss,1
MARUTI,Auto,2025-02-11,2025-02-12,2025-02-19,7,12706.35,-0.209,-0.309,-1.01,1.41,0,time-stop,1
BHARTIARTL,Telecom,2025-02-12,2025-02-13,2025-02-19,6,1710.86,-3.348,-3.448,-4.23,1.03,0,stop-loss,1
MUTHOOTFIN,NBFC / Financial Services,2025-02-13,2025-02-14,2025-02-17,3,2328.16,-5.144,-5.244,-5.39,0.12,0,stop-loss,1
CHOLAFIN,NBFC / Financial Services,2025-03-04,2025-03-05,2025-03-12,7,1458.73,-0.545,-0.645,-4.43,2.83,0,time-stop,1
BLUESTARCO,Consumer Durables / Retail,2025-03-10,2025-03-11,2025-03-18,7,2056.03,4.851,4.751,-3.31,6.03,1,time-stop,1
MAZDOCK,Defence / Aerospace,2025-03-10,2025-03-11,2025-03-18,7,2266.13,4.818,4.718,-1.95,5.4,1,time-stop,1
BLUESTARCO,Consumer Durables / Retail,2025-03-17,2025-03-18,2025-03-25,7,2045.02,7.451,7.351,-0.31,10.99,1,time-stop,1
CHOLAFIN,NBFC / Financial Services,2025-03-18,2025-03-19,2025-03-26,7,1520.76,0.048,-0.052,-2.93,3.9,0,time-stop,1
BHARTIARTL,Telecom,2025-03-19,2025-03-20,2025-03-27,7,1660.83,4.605,4.505,-0.89,6.27,1,time-stop,2
SUNPHARMA,Pharma / Healthcare,2025-03-20,2025-03-21,2025-03-28,7,1759.88,-1.48,-1.58,-3.11,3.42,0,time-stop,1
VEDL,Metals / Mining,2025-03-20,2025-03-21,2025-03-28,7,176.5,-1.794,-1.894,-2.45,0.93,0,time-stop,1
CHAMBLFERT,Chemicals / Fertilizers,2025-03-21,2025-03-24,2025-04-01,8,608.3,2.102,2.002,-2.27,4.06,1,time-stop,1
LUPIN,Pharma / Healthcare,2025-03-21,2025-03-24,2025-03-27,3,2130.06,-4.801,-4.901,-6.41,0.23,0,stop-loss,1
UPL,Chemicals / Fertilizers,2025-03-21,2025-03-24,2025-03-28,4,668.28,-5.53,-5.63,-6.63,0.08,0,stop-loss,1
MARICO,FMCG / Consumer,2025-04-01,2025-04-02,2025-04-11,9,650.83,7.831,7.731,-1.08,9.81,1,target2,2
PAYTM,New-Age Platforms,2025-04-04,2025-04-07,2025-04-07,0,765.38,-0.521,-0.621,-1.6,4.99,0,stop-loss,1
MARICO,FMCG / Consumer,2025-04-08,2025-04-09,2025-04-16,7,677.39,6.304,6.204,-0.28,6.96,1,time-stop,1
CHAMBLFERT,Chemicals / Fertilizers,2025-04-09,2025-04-11,2025-04-21,10,642.82,7.301,7.201,-1.08,7.73,1,time-stop,1
PAYTM,New-Age Platforms,2025-04-09,2025-04-11,2025-04-21,10,825.81,6.285,6.185,-0.55,7.76,1,time-stop,1
BHARTIARTL,Telecom,2025-04-15,2025-04-16,2025-04-23,7,1803.3,4.29,4.19,-0.51,5.6,1,time-stop,1
NYKAA,New-Age Platforms,2025-04-15,2025-04-16,2025-04-23,7,185.95,3.713,3.613,-0.43,5.93,1,time-stop,1
PAYTM,New-Age Platforms,2025-04-15,2025-04-16,2025-04-23,7,842.27,4.914,4.814,-0.56,7.14,1,time-stop,1
JSWSTEEL,Metals / Mining,2025-04-16,2025-04-17,2025-04-24,7,996.5,4.764,4.664,-0.94,6.41,1,time-stop,1
MAXHEALTH,Pharma / Healthcare,2025-04-17,2025-04-21,2025-04-25,4,1095.55,1.921,1.821,-3.33,4.96,1,stop-loss,2
BLUESTARCO,Consumer Durables / Retail,2025-04-22,2025-04-23,2025-04-24,1,2067.03,-7.997,-8.097,-11,1.81,0,stop-loss,1
MAXHEALTH,Pharma / Healthcare,2025-04-28,2025-04-29,2025-05-06,7,1110.55,4.041,3.941,-2.57,5.44,1,time-stop,1
JSWINFRA,Misc Large-Cap,2025-04-29,2025-04-30,2025-05-02,2,300.15,-3.447,-3.547,-3.68,1.53,0,thesis-break,1
BAJFINANCE,NBFC / Financial Services,2025-05-05,2025-05-06,2025-05-09,3,891.55,-3.127,-3.227,-3.48,1.78,0,thesis-break,1
CHOLAFIN,NBFC / Financial Services,2025-05-06,2025-05-07,2025-05-14,7,1505.75,5.981,5.881,-0.88,6.66,1,time-stop,1
SHREECEM,Cement,2025-05-06,2025-05-07,2025-05-08,1,29049.52,1.19,1.09,-0.05,2.41,1,thesis-break,1
SHRIRAMFIN,NBFC / Financial Services,2025-05-07,2025-05-08,2025-05-09,1,635.32,-5.915,-6.015,-6.09,0.86,0,stop-loss,1
BAJFINANCE,NBFC / Financial Services,2025-05-12,2025-05-13,2025-05-20,7,900.85,0.732,0.632,-0.19,3.35,1,time-stop,1
BERGEPAINT,Paints,2025-05-12,2025-05-13,2025-05-20,7,545.57,2.72,2.62,-1.75,6.31,1,stop-loss,2
EICHERMOT,Auto,2025-05-12,2025-05-13,2025-05-14,1,5509.25,-1.188,-1.288,-2.71,0.8,0,thesis-break,1
JSWINFRA,Misc Large-Cap,2025-05-12,2025-05-13,2025-05-19,6,294.35,-1.018,-1.118,-2.4,2.5,0,thesis-break,1
KOTAKBANK,Banks,2025-05-12,2025-05-13,2025-05-14,1,427.21,-2.092,-2.192,-2.44,0.47,0,thesis-break,1
SHRIRAMFIN,NBFC / Financial Services,2025-05-12,2025-05-13,2025-05-20,7,641.92,2.508,2.408,-1.55,6.54,1,time-stop,1
APOLLOHOSP,Pharma / Healthcare,2025-05-13,2025-05-14,2025-05-21,7,6933.46,0.679,0.579,-1.02,2.47,1,time-stop,1
LUPIN,Pharma / Healthcare,2025-05-13,2025-05-14,2025-05-20,6,2067.23,-4.844,-4.944,-5.02,2.5,0,stop-loss,1
ULTRACEMCO,Cement,2025-05-13,2025-05-14,2025-05-21,7,11681.84,-0.186,-0.286,-0.5,2.65,0,time-stop,1
CIPLA,Pharma / Healthcare,2025-05-15,2025-05-16,2025-05-19,3,1510.45,-1.297,-1.397,-1.42,0.08,0,thesis-break,1
SRF,Chemicals / Fertilizers,2025-05-16,2025-05-19,2025-05-21,2,2920.46,1.005,0.905,-0.19,3.82,1,thesis-break,1
EICHERMOT,Auto,2025-05-19,2025-05-20,2025-05-21,1,5552.77,-2.638,-2.738,-3.11,0.09,0,thesis-break,1
JSWINFRA,Misc Large-Cap,2025-05-19,2025-05-20,2025-05-21,1,294.55,-3.579,-3.679,-4.35,0.02,0,thesis-break,1
KOTAKBANK,Banks,2025-05-19,2025-05-20,2025-05-21,1,423.17,-2.154,-2.254,-2.64,0.1,0,thesis-break,1
BHARTIARTL,Telecom,2025-05-21,2025-05-22,2025-05-29,7,1820.81,2.299,2.199,-0.25,2.54,1,time-stop,1
PAYTM,New-Age Platforms,2025-05-23,2025-05-26,2025-06-03,8,851.83,8.473,8.373,-0.31,12.05,1,time-stop,2
SBIN,Banks,2025-05-23,2025-05-26,2025-06-02,7,792.4,2.63,2.53,-0.4,3.8,1,time-stop,1
ULTRACEMCO,Cement,2025-05-23,2025-05-26,2025-05-27,1,11805.9,-3.669,-3.769,-3.65,0.66,0,stop-loss,1
EICHERMOT,Auto,2025-05-26,2025-05-27,2025-05-28,1,5422.71,-1.823,-1.923,-2,0.41,0,thesis-break,1
KOTAKBANK,Banks,2025-05-26,2025-05-27,2025-05-28,1,418.21,-0.851,-0.951,-1.43,0.38,0,thesis-break,1
MARICO,FMCG / Consumer,2025-05-26,2025-05-27,2025-06-03,7,712.81,-1.341,-1.441,-1.87,2.12,0,time-stop,1
SHRIRAMFIN,NBFC / Financial Services,2025-05-26,2025-05-27,2025-05-30,3,668.13,-4.355,-4.455,-4.62,0.28,0,thesis-break,1
INDUSTOWER,Telecom,2025-05-27,2025-05-28,2025-06-02,5,385.89,-0.928,-1.028,-1.53,3.38,0,thesis-break,1
SBIN,Banks,2025-05-28,2025-05-29,2025-06-05,7,799.4,0.775,0.675,-1.01,2.9,1,time-stop,1
JSWINFRA,Misc Large-Cap,2025-05-30,2025-06-02,2025-06-03,1,292.15,-1.897,-1.997,-2.04,0.19,0,thesis-break,1
BAJAJFINSV,NBFC / Financial Services,2025-06-02,2025-06-03,2025-06-03,0,2040.12,-2.7,-2.8,-2.95,0.23,0,stop-loss,1
INDIGO,Aviation / Logistics,2025-06-02,2025-06-03,2025-06-09,6,5361.68,4.923,4.823,-0.32,6.48,1,target2,2
M&M,Auto,2025-06-02,2025-06-03,2025-06-10,7,3043.52,0.738,0.638,-1.6,3.2,1,time-stop,1
TATACONSUM,FMCG / Consumer,2025-06-02,2025-06-03,2025-06-04,1,1116.66,0.643,0.543,-0.6,0.83,1,thesis-break,1
SHRIRAMFIN,NBFC / Financial Services,2025-06-03,2025-06-04,2025-06-11,7,650.27,6.406,6.306,-1.87,10.09,1,time-stop,2
INDUSTOWER,Telecom,2025-06-04,2025-06-05,2025-06-12,7,385.19,2.015,1.915,-1.19,4.21,1,stop-loss,2
JSWINFRA,Misc Large-Cap,2025-06-04,2025-06-05,2025-06-12,7,295.85,4.69,4.59,-0.29,7.76,1,time-stop,2
MAXHEALTH,Pharma / Healthcare,2025-06-04,2025-06-05,2025-06-13,8,1153.78,6.063,5.963,-2.32,7.43,1,time-stop,2
NHPC,Power / Utilities,2025-06-04,2025-06-05,2025-06-12,7,87.66,-0.096,-0.196,-0.58,5.34,0,time-stop,1
APOLLOHOSP,Pharma / Healthcare,2025-06-05,2025-06-06,2025-06-11,5,6870.43,0.78,0.68,-0.91,1.78,1,thesis-break,1
MARICO,FMCG / Consumer,2025-06-05,2025-06-06,2025-06-09,3,705.35,-0.192,-0.292,-1.45,0.08,0,thesis-break,1
NYKAA,New-Age Platforms,2025-06-05,2025-06-06,2025-06-13,7,198.9,-3.568,-3.668,-3.89,2.54,0,stop-loss,1
PERSISTENT,IT,2025-06-05,2025-06-06,2025-06-13,7,5624.81,5.606,5.506,-1.22,7.56,1,time-stop,2
VEDL,Metals / Mining,2025-06-05,2025-06-06,2025-06-13,7,165.04,4.967,4.867,-0.55,7.28,1,time-stop,2
EICHERMOT,Auto,2025-06-06,2025-06-09,2025-06-11,2,5424.71,-1.39,-1.49,-1.52,0.36,0,thesis-break,1
HINDALCO,Metals / Mining,2025-06-06,2025-06-09,2025-06-16,7,653.73,-0.681,-0.781,-2.87,1.49,0,time-stop,1
MARUTI,Auto,2025-06-06,2025-06-09,2025-06-16,7,12511.25,0.1,0,-2.68,1.86,0,time-stop,1
MRF,Auto Ancillary,2025-06-06,2025-06-09,2025-06-10,1,139609.77,-1.31,-1.41,-2.19,1.24,0,thesis-break,1
TVSMOTOR,Auto,2025-06-06,2025-06-09,2025-06-10,1,2766.38,-0.822,-0.922,-1.75,0.09,0,thesis-break,1
NESTLEIND,FMCG / Consumer,2025-06-09,2025-06-10,2025-06-13,3,1208.25,-2.762,-2.862,-2.88,1.39,0,stop-loss,1
TATACONSUM,FMCG / Consumer,2025-06-09,2025-06-10,2025-06-11,1,1121.76,-1.606,-1.706,-1.76,0.61,0,thesis-break,1
TITAN,Consumer Durables / Retail,2025-06-09,2025-06-10,2025-06-12,2,3546.77,-2.389,-2.489,-2.86,0.37,0,stop-loss,1
APOLLOHOSP,Pharma / Healthcare,2025-06-10,2025-06-11,2025-06-18,7,6921.46,0.124,0.024,-0.84,3.13,1,time-stop,1
BAJAJFINSV,NBFC / Financial Services,2025-06-10,2025-06-11,2025-06-18,7,2005,-1.226,-1.326,-1.46,2.73,0,time-stop,1
GODREJCP,FMCG / Consumer,2025-06-11,2025-06-12,2025-06-12,0,1225.61,-1.92,-2.02,-2.08,0.02,0,stop-loss,1
MARICO,FMCG / Consumer,2025-06-11,2025-06-12,2025-06-12,0,704.15,-1.631,-1.731,-1.92,0.12,0,stop-loss,1
MARUTI,Auto,2025-06-11,2025-06-12,2025-06-19,7,12465.23,2.682,2.582,-2.32,3.33,1,time-stop,1
TVSMOTOR,Auto,2025-06-12,2025-06-13,2025-06-13,0,2706.35,-0.429,-0.529,-1.89,1.53,0,stop-loss,1
MRF,Auto Ancillary,2025-06-13,2025-06-16,2025-06-17,1,136868.4,-0.429,-0.529,-0.71,0.42,0,thesis-break,1
DMART,Consumer Durables / Retail,2025-06-16,2025-06-17,2025-06-24,7,4089.04,3.899,3.799,-1.17,6.59,1,time-stop,1
HINDALCO,Metals / Mining,2025-06-16,2025-06-17,2025-06-18,1,649.47,-0.684,-0.784,-1.83,0.14,0,thesis-break,1
HINDPETRO,Oil & Gas / Energy,2025-06-16,2025-06-17,2025-06-18,1,394.15,-0.101,-0.201,-1.48,1.74,0,thesis-break,1
ICICIBANK,Banks,2025-06-16,2025-06-17,2025-06-18,1,1427.61,-1.101,-1.201,-1.22,0.31,0,thesis-break,1
INDUSTOWER,Telecom,2025-06-16,2025-06-17,2025-06-24,7,390.19,6.318,6.218,-0.59,6.85,1,time-stop,1
TATASTEEL,Metals / Mining,2025-06-16,2025-06-17,2025-06-18,1,153.89,-1.206,-1.306,-2.01,0.65,0,thesis-break,1
MAZDOCK,Defence / Aerospace,2025-06-17,2025-06-18,2025-06-19,1,3319.56,-2.942,-3.042,-3.46,0.53,0,thesis-break,1
EICHERMOT,Auto,2025-06-18,2025-06-19,2025-06-26,7,5412.7,3.621,3.521,-0.14,4.43,1,time-stop,1
HDFCBANK,Banks,2025-06-18,2025-06-19,2025-06-27,8,967.43,3.662,3.562,-0.48,4.77,1,time-stop,2
MRF,Auto Ancillary,2025-06-18,2025-06-19,2025-06-20,1,137818.88,-2.388,-2.488,-3.69,0.77,0,stop-loss,1
NYKAA,New-Age Platforms,2025-06-18,2025-06-19,2025-06-27,8,196.1,6.349,6.249,-1.51,7.57,1,time-stop,2
PAYTM,New-Age Platforms,2025-06-18,2025-06-19,2025-06-20,1,892.45,-2.43,-2.53,-3.73,0.45,0,thesis-break,1
TITAN,Consumer Durables / Retail,2025-06-18,2025-06-19,2025-06-26,7,3480.54,5.569,5.469,-0.37,6.32,1,time-stop,2
ASHOKLEY,Auto,2025-06-20,2025-06-23,2025-06-27,4,116.57,6.454,6.354,-0.42,8.05,1,target2,2
BHEL,Infra / Capital Goods,2025-06-20,2025-06-23,2025-06-30,7,248.57,6.981,6.881,-0.17,9.47,1,time-stop,2
CANBK,Banks,2025-06-20,2025-06-23,2025-07-01,8,106.05,7.678,7.578,-0.07,9.38,1,time-stop,2
DIVISLAB,Pharma / Healthcare,2025-06-20,2025-06-23,2025-06-30,7,6573.28,3.542,3.442,-0.81,3.89,1,time-stop,1
INDIGO,Aviation / Logistics,2025-06-20,2025-06-23,2025-06-30,7,5321.66,10.768,10.668,-0.13,12.69,1,time-stop,2
SAIL,Metals / Mining,2025-06-20,2025-06-23,2025-06-30,7,126.25,5.876,5.776,-0.3,7.99,1,time-stop,2
SBIN,Banks,2025-06-20,2025-06-23,2025-06-24,1,790.39,0.584,0.484,-0.24,2.06,1,thesis-break,1
