subject,labelType,horizon,weighting,regime,meanIC,stdIC,icIR,tStat,neweyWestTStat,nDates
volatility,xs,10,EW,SIDEWAYS,-0.008015,0.182993,-0.043799,-0.801656,-0.366111,335
volatility,xs,21,EW,SIDEWAYS,-0.014981,0.160954,-0.093079,-1.675426,-0.663541,324
volatility,xs,63,EW,SIDEWAYS,-0.002161,0.179981,-0.012006,-0.203039,-0.06158,286
volatility,xs,1,EW,HIGH_VOL,-0.025977,0.220207,-0.117968,-1.355344,-1.345407,132
volatility,xs,3,EW,HIGH_VOL,-0.0525,0.228726,-0.229532,-2.637127,-1.886109,132
volatility,xs,5,EW,HIGH_VOL,-0.077114,0.221662,-0.347888,-3.996931,-2.43786,132
volatility,xs,10,EW,HIGH_VOL,-0.078758,0.205258,-0.3837,-4.408374,-2.03247,132
volatility,xs,21,EW,HIGH_VOL,-0.111523,0.191695,-0.581771,-6.684043,-2.224739,132
volatility,xs,63,EW,HIGH_VOL,-0.02878,0.146667,-0.196229,-2.254504,-0.680253,132
volatility,resid,1,EW,ALL,0.011311,0.104587,0.108146,3.665824,3.744681,1149
volatility,resid,3,EW,ALL,0.003147,0.099762,0.031548,1.06846,0.754638,1147
volatility,resid,5,EW,ALL,-0.000771,0.096424,-0.007998,-0.270628,-0.161019,1145
volatility,resid,10,EW,ALL,-0.006568,0.085113,-0.077163,-2.605316,-1.151596,1140
volatility,resid,21,EW,ALL,-0.010687,0.084072,-0.127121,-4.271354,-1.286069,1129
volatility,resid,63,EW,ALL,-0.006447,0.082929,-0.077742,-2.563137,-0.460235,1087
volatility,resid,1,EW,BULL,0.015761,0.100291,0.157152,3.761822,3.841432,573
volatility,resid,3,EW,BULL,0.009866,0.09493,0.103925,2.487707,1.790986,573
volatility,resid,5,EW,BULL,0.007188,0.094347,0.076192,1.823833,1.120677,573
volatility,resid,10,EW,BULL,0.001512,0.084272,0.017945,0.429176,0.19573,572
volatility,resid,21,EW,BULL,-0.006449,0.085615,-0.075329,-1.801618,-0.563706,572
volatility,resid,63,EW,BULL,-0.006017,0.085605,-0.070294,-1.681182,-0.30658,572
volatility,resid,1,EW,BEAR,0.020625,0.124517,0.16564,1.622933,1.534445,96
volatility,resid,3,EW,BEAR,-0.001229,0.120022,-0.010241,-0.100343,-0.070273,96
volatility,resid,5,EW,BEAR,-0.008115,0.115261,-0.070402,-0.689791,-0.467106,96
volatility,resid,10,EW,BEAR,0.004292,0.083419,0.051447,0.50408,0.258815,96
volatility,resid,21,EW,BEAR,0.017906,0.091542,0.195608,1.916556,0.817318,96
volatility,resid,63,EW,BEAR,-0.012283,0.096566,-0.127194,-1.220001,-0.751251,92
volatility,resid,1,EW,SIDEWAYS,0.007405,0.104547,0.070832,1.31182,1.37457,343
volatility,resid,3,EW,SIDEWAYS,0.001021,0.100847,0.01012,0.18687,0.135326,341
volatility,resid,5,EW,SIDEWAYS,-0.004319,0.095996,-0.044987,-0.828298,-0.499201,339
volatility,resid,10,EW,SIDEWAYS,-0.01586,0.0888,-0.178601,-3.268935,-1.575393,335
volatility,resid,21,EW,SIDEWAYS,-0.012278,0.079533,-0.154373,-2.778723,-1.089696,324
volatility,resid,63,EW,SIDEWAYS,-0.001892,0.083804,-0.022572,-0.381723,-0.116577,286
volatility,resid,1,EW,HIGH_VOL,-0.005705,0.107253,-0.053188,-0.611078,-0.601325,132
volatility,resid,3,EW,HIGH_VOL,-0.015659,0.099961,-0.156652,-1.799794,-1.354455,132
volatility,resid,5,EW,HIGH_VOL,-0.019795,0.0899,-0.220195,-2.529845,-1.839936,132
volatility,resid,10,EW,HIGH_VOL,-0.023614,0.075207,-0.313981,-3.60737,-2.066931,132
volatility,resid,21,EW,HIGH_VOL,-0.043924,0.071967,-0.610339,-7.012259,-3.070619,132
volatility,resid,63,EW,HIGH_VOL,-0.013212,0.054037,-0.244501,-2.809098,-1.825348,132
fundamental,fwd,1,EW,ALL,0.004411,0.08219,0.053666,1.819101,1.815926,1149
fundamental,fwd,3,EW,ALL,0.005888,0.085239,0.069071,2.339261,1.524844,1147
fundamental,fwd,5,EW,ALL,0.006422,0.086228,0.074475,2.520078,1.319279,1145
fundamental,fwd,10,EW,ALL,0.007848,0.08871,0.088471,2.987122,1.123487,1140
