subject,labelType,horizon,weighting,regime,decile,nObs,meanRet,medianRet
trend,fwd,21,EW,ALL,10,18124,1.7382,1.1802
trend,fwd,21,VW,ALL,1,19192,1.6265,0.8966
trend,fwd,21,VW,ALL,2,18663,1.0052,0.6027
trend,fwd,21,VW,ALL,3,18774,0.9327,0.8456
trend,fwd,21,VW,ALL,4,18513,0.904,1.0817
trend,fwd,21,VW,ALL,5,18482,1.0466,1.1343
trend,fwd,21,VW,ALL,6,18984,1.3592,1.2375
trend,fwd,21,VW,ALL,7,18700,1.1375,0.8533
trend,fwd,21,VW,ALL,8,18587,1.0946,1.0501
trend,fwd,21,VW,ALL,9,18850,1.2678,0.9424
trend,fwd,21,VW,ALL,10,18124,1.0841,1.1802
trend,fwd,63,EW,ALL,1,18478,3.8291,1.9357
trend,fwd,63,EW,ALL,2,17949,3.4576,1.6969
trend,fwd,63,EW,ALL,3,18060,4.5741,2.9819
trend,fwd,63,EW,ALL,4,17841,4.4686,2.8509
trend,fwd,63,EW,ALL,5,17768,4.5203,2.934
trend,fwd,63,EW,ALL,6,18270,5.3628,3.2622
trend,fwd,63,EW,ALL,7,18028,4.9708,2.6043
trend,fwd,63,EW,ALL,8,17873,5.0125,2.9072
trend,fwd,63,EW,ALL,9,18136,5.9988,2.9427
trend,fwd,63,EW,ALL,10,17423,5.1509,3.1861
trend,fwd,63,VW,ALL,1,18478,4.8437,1.9357
trend,fwd,63,VW,ALL,2,17949,2.8249,1.6969
trend,fwd,63,VW,ALL,3,18060,3.4203,2.9819
trend,fwd,63,VW,ALL,4,17841,3.0921,2.8509
trend,fwd,63,VW,ALL,5,17768,2.8563,2.934
trend,fwd,63,VW,ALL,6,18270,3.376,3.2622
trend,fwd,63,VW,ALL,7,18028,2.7882,2.6043
trend,fwd,63,VW,ALL,8,17873,2.7125,2.9072
trend,fwd,63,VW,ALL,9,18136,3.3663,2.9427
trend,fwd,63,VW,ALL,10,17423,2.3362,3.1861
trend,fwd,1,EW,BULL,1,9741,0.0543,0
trend,fwd,1,EW,BULL,2,9418,0.0215,-0.0245
trend,fwd,1,EW,BULL,3,9511,0.0633,0.0142
trend,fwd,1,EW,BULL,4,9395,0.0798,0.0215
trend,fwd,1,EW,BULL,5,9341,0.0708,0.0203
trend,fwd,1,EW,BULL,6,9604,0.1064,0.0569
trend,fwd,1,EW,BULL,7,9531,0.0937,0.0031
trend,fwd,1,EW,BULL,8,9375,0.0622,0.0107
trend,fwd,1,EW,BULL,9,9554,0.1054,0.0144
trend,fwd,1,EW,BULL,10,9181,0.0957,0.0406
trend,fwd,1,VW,BULL,1,9741,0.0387,0
trend,fwd,1,VW,BULL,2,9418,0.0195,-0.0245
trend,fwd,1,VW,BULL,3,9511,0.017,0.0142
trend,fwd,1,VW,BULL,4,9395,0.0373,0.0215
trend,fwd,1,VW,BULL,5,9341,0.0773,0.0203
trend,fwd,1,VW,BULL,6,9604,0.0563,0.0569
trend,fwd,1,VW,BULL,7,9531,0.0982,0.0031
trend,fwd,1,VW,BULL,8,9375,0.044,0.0107
trend,fwd,1,VW,BULL,9,9554,0.0542,0.0144
trend,fwd,1,VW,BULL,10,9181,0.0428,0.0406
trend,fwd,3,EW,BULL,1,9741,0.1684,0.0413
trend,fwd,3,EW,BULL,2,9418,0.0721,0
